,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x6,1,['x6'],[1],2.16116,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,0,2,x6,0,['x6'],[0],8.78905,0,0,[],"[[0, 1], [0, 0]]",0,,0
2,1,3,x2,1,"['x6', 'x2']","[1, 1]",1.96655,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,1
3,1,4,x2,0,"['x6', 'x2']","[1, 0]",14.91148,0,0,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,0
4,2,5,x5,1,"['x6', 'x2', 'x5']","[1, 1, 1]",1.95923,0,1,"[1, 1]","[[1, 1, 1, 1], [1, 1, 1, 0]]",111,11,1
5,2,6,x5,0,"['x6', 'x2', 'x5']","[1, 1, 0]",1.99936,0,0,"[1, 1]","[[1, 1, 0, 1], [1, 1, 0, 0]]",110,11,0
6,3,7,noise46,1,"['x6', 'x2', 'x5', 'noise46']","[1, 1, 1, 1]",1.93817,0,0,"[1, 1, 1]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 0]]",1111,111,0
7,3,8,noise46,0,"['x6', 'x2', 'x5', 'noise46']","[1, 1, 1, 0]",1.9157,0,1,"[1, 1, 1]","[[1, 1, 1, 0, 1], [1, 1, 1, 0, 0]]",1110,111,1
8,4,9,noise7,1,"['x6', 'x2', 'x5', 'noise46', 'noise7']","[1, 1, 1, 0, 1]",1.97198,0,0,"[1, 1, 1, 0]","[[1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 1, 0]]",11101,1110,0
9,4,10,noise7,0,"['x6', 'x2', 'x5', 'noise46', 'noise7']","[1, 1, 1, 0, 0]",1.95545,0,1,"[1, 1, 1, 0]","[[1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0]]",11100,1110,1
10,5,11,noise4,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4']","[1, 1, 1, 0, 0, 1]",1.95371,0,0,"[1, 1, 1, 0, 0]","[[1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 0]]",111001,11100,0
11,5,12,noise4,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4']","[1, 1, 1, 0, 0, 0]",1.92406,0,1,"[1, 1, 1, 0, 0]","[[1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0]]",111000,11100,1
12,6,13,corr2,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2']","[1, 1, 1, 0, 0, 0, 1]",1.94284,0,0,"[1, 1, 1, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1, 0]]",1110001,111000,0
